year,body,kind,description
-759,Jupiter,due-east,Jupiter rises due east over Giza
-758,Saturn,due-east,Saturn rises due east over Giza
-753,Jupiter,due-east,Jupiter rises due east over Giza
-747,Jupiter,due-east,Jupiter rises due east over Giza
-743,Saturn,due-east,Saturn rises due east over Giza
-741,Jupiter,due-east,Jupiter rises due east over Giza
-735,Jupiter,due-east,Jupiter rises due east over Giza
-730,Jupiter,due-east,Jupiter rises due east over Giza
-729,Saturn,due-east,Saturn rises due east over Giza
-723,Jupiter,due-east,Jupiter rises due east over Giza
-720,Uranus,due-east,Uranus rises due east over Giza
-718,Jupiter,due-east,Jupiter rises due east over Giza
-714,Saturn,due-east,Saturn rises due east over Giza
-711,Jupiter,due-east,Jupiter rises due east over Giza
-706,Jupiter,due-east,Jupiter rises due east over Giza
-700,Saturn,due-east,Saturn rises due east over Giza
-699,Jupiter,due-east,Jupiter rises due east over Giza
-694,Jupiter,due-east,Jupiter rises due east over Giza
-692,Neptune,due-east,Neptune rises due east over Giza
-688,Jupiter,due-east,Jupiter rises due east over Giza
-684,Saturn,due-east,Saturn rises due east over Giza
-682,Jupiter,due-east,Jupiter rises due east over Giza
-678,Uranus,due-east,Uranus rises due east over Giza
-676,Jupiter,due-east,Jupiter rises due east over Giza
-670,Jupiter,due-east,Jupiter rises due east over Giza
-670,Saturn,due-east,Saturn rises due east over Giza
-664,Jupiter,due-east,Jupiter rises due east over Giza
-658,Jupiter,due-east,Jupiter rises due east over Giza
-655,Saturn,due-east,Saturn rises due east over Giza
-652,Jupiter,due-east,Jupiter rises due east over Giza
-647,Jupiter,due-east,Jupiter rises due east over Giza
-641,Saturn,due-east,Saturn rises due east over Giza
-640,Jupiter,due-east,Jupiter rises due east over Giza
-636,Uranus,due-east,Uranus rises due east over Giza
-635,Jupiter,due-east,Jupiter rises due east over Giza
-628,Jupiter,due-east,Jupiter rises due east over Giza
-625,Saturn,due-east,Saturn rises due east over Giza
-623,Jupiter,due-east,Jupiter rises due east over Giza
-616,Jupiter,due-east,Jupiter rises due east over Giza
-611,Jupiter,due-east,Jupiter rises due east over Giza
-611,Saturn,due-east,Saturn rises due east over Giza
-609,Neptune,due-east,Neptune rises due east over Giza
-605,Jupiter,due-east,Jupiter rises due east over Giza
-599,Jupiter,due-east,Jupiter rises due east over Giza
-596,Saturn,due-east,Saturn rises due east over Giza
-594,Uranus,due-east,Uranus rises due east over Giza
-593,Jupiter,due-east,Jupiter rises due east over Giza
-587,Jupiter,due-east,Jupiter rises due east over Giza
-582,Saturn,due-east,Saturn rises due east over Giza
-581,Jupiter,due-east,Jupiter rises due east over Giza
-575,Jupiter,due-east,Jupiter rises due east over Giza
-569,Jupiter,due-east,Jupiter rises due east over Giza
-566,Saturn,due-east,Saturn rises due east over Giza
-563,Jupiter,due-east,Jupiter rises due east over Giza
-557,Jupiter,due-east,Jupiter rises due east over Giza
-552,Jupiter,due-east,Jupiter rises due east over Giza
-552,Saturn,due-east,Saturn rises due east over Giza
-552,Uranus,due-east,Uranus rises due east over Giza
-545,Jupiter,due-east,Jupiter rises due east over Giza
-540,Jupiter,due-east,Jupiter rises due east over Giza
-537,Saturn,due-east,Saturn rises due east over Giza
-533,Jupiter,due-east,Jupiter rises due east over Giza
-528,Jupiter,due-east,Jupiter rises due east over Giza
-527,Neptune,due-east,Neptune rises due east over Giza
-523,Saturn,due-east,Saturn rises due east over Giza
-522,Jupiter,due-east,Jupiter rises due east over Giza
-516,Jupiter,due-east,Jupiter rises due east over Giza
-510,Jupiter,due-east,Jupiter rises due east over Giza
-510,Uranus,due-east,Uranus rises due east over Giza
-507,Saturn,due-east,Saturn rises due east over Giza
-504,Jupiter,due-east,Jupiter rises due east over Giza
-498,Jupiter,due-east,Jupiter rises due east over Giza
-493,Saturn,due-east,Saturn rises due east over Giza
-492,Jupiter,due-east,Jupiter rises due east over Giza
