key,name,kind,tier,lat,lon,km,mentions,sources,in,matched_as,unsearchable_forms,uri,first_seen
pl-907860743,Neistan Gate (Thebes),"unlocated|gate (of a city), city gate",pin,38.3215,23.3154,52.0,0,0,,,0,https://pleiades.stoa.org/places/907860743,
pl-570505,Nemea (river),"river, drainage",pin,37.89748,22.76167,85.2,0,0,,,0,https://pleiades.stoa.org/places/570505,
pl-328243339,Nemea Early Christian basilica,church|basilica,pin,37.80322,22.71842,90.8,0,0,,,0,https://pleiades.stoa.org/places/328243339,
pl-570506,Neris?,settlement,pin,37.43244,22.66514,111.8,0,0,,,0,https://pleiades.stoa.org/places/570506,
pl-286572421,Nesiotic League (First),state (polity),wash,37.39727,25.26819,150.4,0,0,,,0,https://pleiades.stoa.org/places/286572421,
pl-570507,Nestane,settlement|archaeological site,pin,37.6162,22.46202,118.5,0,0,,,0,https://pleiades.stoa.org/places/570507,
pl-599826,Nestos (river),"river, drainage",wash,37.06519,25.19847,165.1,0,0,,,0,https://pleiades.stoa.org/places/599826,
pl-502723225,New Bouleuterion,architectural complex,pin,37.97514,23.72182,1.1,0,0,,,0,https://pleiades.stoa.org/places/502723225,
pl-423679103,Nichoria,settlement,pin,37.00222,21.91417,193.7,0,0,,,1,https://pleiades.stoa.org/places/423679103,
pl-540963,Nikaia,settlement,pin,38.81197,22.61732,133.6,0,0,,,0,https://pleiades.stoa.org/places/540963,
pl-580035,Nike (Monument at Marathon),church|tower (defensive)|monument,pin,38.1409,24.00009,29.6,0,0,,,2,https://pleiades.stoa.org/places/580035,
